,date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,cleaned_text
5,2024-05-05,Review title 6,"Waste of time, does not meet expectations.",2,user6,156,7,App Store,en,Nepal,3.5.6,No,waste time meet expectation
6,2024-03-09,Review title 7,"Highly satisfied, the app works exactly as expected.",4,user7,186,8,Google Play,fr,Qatar,2.1.4,No,highly satisfied app work exactly expected
7,2024-03-08,Review title 8,"Highly satisfied, the app works exactly as expected.",4,user8,152,8,Amazon,ja,Italy,5.0.3,No,highly satisfied app work exactly expected
14,2024-06-02,Review title 15,Works fine but there is room for improvement.,3,user15,78,8,Flipkart,hi,USA,3.5.6,Yes,work fine room improvement
18,2024-06-05,Review title 19,"Excellent app, very easy to use and extremely helpful.",5,user19,33,9,Website,pt,USA,5.0.3,No,excellent app easy use extremely helpful
19,2025-01-03,Review title 20,"Decent app, neither too good nor too bad.",3,user20,55,8,App Store,pt,UK,3.5.6,Yes,decent app neither good bad
21,2024-07-01,Review title 22,Poor performance and not user-friendly.,1,user22,97,5,Amazon,ja,Germany,5.0.3,Yes,poor performance user friendly
27,2025-04-08,Review title 28,Poor performance and not user-friendly.,2,user28,91,5,Flipkart,fr,Qatar,2.1.4,No,poor performance user friendly
32,2024-02-09,Review title 33,"Average experience, some features could be improved.",3,user33,164,7,Amazon,hi,Germany,4.2.1,Yes,average experience feature could improved
43,2024-08-06,Review title 44,"Highly satisfied, the app works exactly as expected.",5,user44,55,8,Flipkart,pt,USA,1.2.3,No,highly satisfied app work exactly expected
46,2024-03-01,Review title 47,Amazing quality and user-friendly interface.,4,user47,86,5,Website,ar,Poland,5.0.3,No,amazing quality user friendly interface
49,2024-09-02,Review title 50,Works fine but there is room for improvement.,3,user50,119,8,Amazon,de,Poland,5.0.3,Yes,work fine room improvement
54,2024-06-01,Review title 55,"Decent app, neither too good nor too bad.",3,user55,186,8,Google Play,fr,Poland,5.0.3,No,decent app neither good bad
55,2024-04-09,Review title 56,"Excellent app, very easy to use and extremely helpful.",4,user56,53,9,App Store,es,Qatar,2.1.4,No,excellent app easy use extremely helpful
60,2025-03-07,Review title 61,"Average experience, some features could be improved.",3,user61,100,7,Flipkart,zh,France,2.1.4,No,average experience feature could improved
64,2024-03-02,Review title 65,"Great experience, smooth performance and useful features.",4,user65,189,7,Google Play,hi,Germany,4.2.1,No,great experience smooth performance useful feature
65,2024-03-07,Review title 66,Poor performance and not user-friendly.,1,user66,47,5,App Store,es,India,1.2.3,Yes,poor performance user friendly
66,2024-03-07,Review title 67,"Very disappointing experience, the app crashes often.",1,user67,44,7,Flipkart,fr,USA,3.5.6,Yes,disappointing experience app crash often
70,2024-06-01,Review title 71,"Excellent app, very easy to use and extremely helpful.",4,user71,161,9,App Store,pt,Germany,1.2.3,No,excellent app easy use extremely helpful
84,2025-02-08,Review title 85,"Excellent app, very easy to use and extremely helpful.",5,user85,196,9,Website,ja,USA,5.0.3,No,excellent app easy use extremely helpful
89,2025-05-09,Review title 90,"Highly satisfied, the app works exactly as expected.",5,user90,83,8,Amazon,es,UK,1.2.3,No,highly satisfied app work exactly expected
91,2024-02-07,Review title 92,"Highly satisfied, the app works exactly as expected.",5,user92,160,8,Website,fr,Kenya,5.0.3,Yes,highly satisfied app work exactly expected
95,2025-05-03,Review title 96,Very reliable and worth using regularly.,4,user96,170,6,Flipkart,pt,India,1.2.3,No,reliable worth using regularly
99,2025-02-04,Review title 100,"Excellent app, very easy to use and extremely helpful.",5,user100,111,9,Website,en,India,4.2.1,Yes,excellent app easy use extremely helpful
107,2025-05-02,Review title 108,"Not satisfied, many bugs and issues.",1,user108,38,6,Amazon,ja,Germany,2.1.4,Yes,satisfied many bug issue
108,2024-04-03,Review title 109,The app is okay and does its job reasonably well.,3,user109,90,10,Google Play,zh,UK,5.0.3,No,app okay job reasonably well
111,2025-05-04,Review title 112,Poor performance and not user-friendly.,2,user112,129,5,Amazon,fr,Nepal,1.2.3,No,poor performance user friendly
112,2024-07-02,Review title 113,"Very disappointing experience, the app crashes often.",2,user113,136,7,Amazon,en,USA,5.0.3,No,disappointing experience app crash often
113,2025-02-01,Review title 114,"Great experience, smooth performance and useful features.",5,user114,180,7,Website,fr,UK,2.1.4,No,great experience smooth performance useful feature
117,2025-04-04,Review title 118,Poor performance and not user-friendly.,2,user118,176,5,Google Play,de,Italy,3.5.6,No,poor performance user friendly
119,2024-07-03,Review title 120,Very reliable and worth using regularly.,4,user120,200,6,Flipkart,de,Poland,4.2.1,No,reliable worth using regularly
120,2024-02-07,Review title 121,"Waste of time, does not meet expectations.",1,user121,115,7,Website,ja,Kenya,4.2.1,No,waste time meet expectation
122,2024-02-01,Review title 123,"Decent app, neither too good nor too bad.",3,user123,120,8,Amazon,de,USA,3.5.6,Yes,decent app neither good bad
127,2025-02-02,Review title 128,"Not bad, but updates are needed for better performance.",3,user128,185,9,Amazon,de,UK,1.2.3,No,bad update needed better performance
129,2025-03-03,Review title 130,The app is okay and does its job reasonably well.,3,user130,193,10,Amazon,hi,Germany,3.5.6,No,app okay job reasonably well
130,2025-01-02,Review title 131,Very reliable and worth using regularly.,5,user131,170,6,Google Play,ar,Kenya,3.5.6,No,reliable worth using regularly
134,2025-04-09,Review title 135,"Very disappointing experience, the app crashes often.",2,user135,146,7,Website,de,Nepal,3.5.6,No,disappointing experience app crash often
137,2024-07-08,Review title 138,"Very disappointing experience, the app crashes often.",1,user138,25,7,App Store,de,Kenya,1.2.3,No,disappointing experience app crash often
139,2024-02-04,Review title 140,"Waste of time, does not meet expectations.",1,user140,107,7,Website,zh,USA,4.2.1,Yes,waste time meet expectation
140,2024-01-02,Review title 141,"Not satisfied, many bugs and issues.",2,user141,136,6,Amazon,hi,Poland,4.2.1,Yes,satisfied many bug issue
146,2024-05-08,Review title 147,"Average experience, some features could be improved.",3,user147,126,7,Flipkart,ar,Kenya,2.1.4,No,average experience feature could improved
153,2024-06-08,Review title 154,Works fine but there is room for improvement.,3,user154,113,8,Amazon,es,Poland,2.1.4,Yes,work fine room improvement
157,2024-01-03,Review title 158,Poor performance and not user-friendly.,1,user158,87,5,Google Play,en,Italy,1.2.3,No,poor performance user friendly
168,2024-02-06,Review title 169,"Very disappointing experience, the app crashes often.",2,user169,16,7,Flipkart,zh,Germany,3.5.6,No,disappointing experience app crash often
169,2025-05-08,Review title 170,Amazing quality and user-friendly interface.,4,user170,71,5,Amazon,zh,Kenya,5.0.3,No,amazing quality user friendly interface
182,2024-02-06,Review title 183,Very reliable and worth using regularly.,5,user183,170,6,Flipkart,ja,USA,5.0.3,No,reliable worth using regularly
184,2025-04-02,Review title 185,"Waste of time, does not meet expectations.",2,user185,36,7,Amazon,ja,India,2.1.4,No,waste time meet expectation
185,2025-02-01,Review title 186,"Not satisfied, many bugs and issues.",1,user186,139,6,Website,hi,Kenya,2.1.4,No,satisfied many bug issue
186,2024-09-07,Review title 187,"Very disappointing experience, the app crashes often.",2,user187,43,7,App Store,fr,USA,4.2.1,No,disappointing experience app crash often
191,2024-07-02,Review title 192,"Average experience, some features could be improved.",3,user192,177,7,App Store,zh,France,1.2.3,Yes,average experience feature could improved
192,2024-03-01,Review title 193,"Great experience, smooth performance and useful features.",4,user193,60,7,Flipkart,pt,Germany,2.1.4,Yes,great experience smooth performance useful feature
193,2025-05-03,Review title 194,"Great experience, smooth performance and useful features.",4,user194,195,7,App Store,hi,UK,1.2.3,Yes,great experience smooth performance useful feature
202,2025-02-02,Review title 203,"Not bad, but updates are needed for better performance.",3,user203,91,9,Website,pt,USA,2.1.4,No,bad update needed better performance
204,2024-01-06,Review title 205,"Terrible experience, needs major improvements.",2,user205,140,5,App Store,es,Qatar,4.2.1,No,terrible experience need major improvement
211,2024-02-03,Review title 212,"Average experience, some features could be improved.",3,user212,184,7,App Store,hi,India,2.1.4,No,average experience feature could improved
213,2024-09-07,Review title 214,"Excellent app, very easy to use and extremely helpful.",4,user214,132,9,Website,es,Poland,3.5.6,Yes,excellent app easy use extremely helpful
